id,channel,url,cut_interval,class,filename
2M0AufUQqrY,CBJ TV,https://www.youtube.com/watch?v=2M0AufUQqrY,0:04:05.55 -> 0:04:07.61,ashi_waza,ashi_waza_2M0AufUQqrY_luta01_sub03.mp4
2M0AufUQqrY,CBJ TV,https://www.youtube.com/watch?v=2M0AufUQqrY,0:00:26.70 -> 0:00:28.00,ashi_waza,ashi_waza_2M0AufUQqrY_luta03_sub01.mp4
2M0AufUQqrY,CBJ TV,https://www.youtube.com/watch?v=2M0AufUQqrY,0:00:30.00 -> 0:00:31.50,ashi_waza,ashi_waza_2M0AufUQqrY_luta03_sub02.mp4
2M0AufUQqrY,CBJ TV,https://www.youtube.com/watch?v=2M0AufUQqrY,0:01:49.89 -> 0:01:51.79,ashi_waza,ashi_waza_2M0AufUQqrY_luta03_sub03.mp4
2M0AufUQqrY,CBJ TV,https://www.youtube.com/watch?v=2M0AufUQqrY,0:04:17.65 -> 0:04:20.35,ashi_waza,ashi_waza_2M0AufUQqrY_luta03_sub04.mp4
2M0AufUQqrY,CBJ TV,https://www.youtube.com/watch?v=2M0AufUQqrY,0:05:59.57 -> 0:06:01.84,ashi_waza,ashi_waza_2M0AufUQqrY_luta03_sub06.mp4
2M0AufUQqrY,CBJ TV,https://www.youtube.com/watch?v=2M0AufUQqrY,0:07:31.07 -> 0:07:33.70,ashi_waza,ashi_waza_2M0AufUQqrY_luta03_sub07.mp4
2M0AufUQqrY,CBJ TV,https://www.youtube.com/watch?v=2M0AufUQqrY,0:04:16.45 -> 0:04:18.22,ashi_waza,ashi_waza_2M0AufUQqrY_luta04_sub01.mp4
2M0AufUQqrY,CBJ TV,https://www.youtube.com/watch?v=2M0AufUQqrY,0:02:17.96 -> 0:02:20.83,ashi_waza,ashi_waza_2M0AufUQqrY_luta07_sub01.mp4
2M0AufUQqrY,CBJ TV,https://www.youtube.com/watch?v=2M0AufUQqrY,0:01:59.82 -> 0:02:01.69,ashi_waza,ashi_waza_2M0AufUQqrY_luta12_sub02.mp4
2M0AufUQqrY,CBJ TV,https://www.youtube.com/watch?v=2M0AufUQqrY,0:02:47.52 -> 0:02:49.35,ashi_waza,ashi_waza_2M0AufUQqrY_luta12_sub03.mp4
2M0AufUQqrY,CBJ TV,https://www.youtube.com/watch?v=2M0AufUQqrY,0:03:31.25 -> 0:03:33.19,ashi_waza,ashi_waza_2M0AufUQqrY_luta13_sub02.mp4
2M0AufUQqrY,CBJ TV,https://www.youtube.com/watch?v=2M0AufUQqrY,0:00:30.63 -> 0:00:32.89,ashi_waza,ashi_waza_2M0AufUQqrY_luta14_sub01.mp4
2M0AufUQqrY,CBJ TV,https://www.youtube.com/watch?v=2M0AufUQqrY,0:01:20.33 -> 0:01:22.56,ashi_waza,ashi_waza_2M0AufUQqrY_luta15_sub01.mp4
2M0AufUQqrY,CBJ TV,https://www.youtube.com/watch?v=2M0AufUQqrY,0:02:19.22 -> 0:02:23.12,ashi_waza,ashi_waza_2M0AufUQqrY_luta15_sub02.mp4
2M0AufUQqrY,CBJ TV,https://www.youtube.com/watch?v=2M0AufUQqrY,0:06:00.97 -> 0:06:03.37,ashi_waza,ashi_waza_2M0AufUQqrY_luta15_sub04.mp4
2M0AufUQqrY,CBJ TV,https://www.youtube.com/watch?v=2M0AufUQqrY,0:02:53.35 -> 0:02:55.58,ashi_waza,ashi_waza_2M0AufUQqrY_luta16_sub03.mp4
2M0AufUQqrY,CBJ TV,https://www.youtube.com/watch?v=2M0AufUQqrY,0:01:32.59 -> 0:01:35.86,ashi_waza,ashi_waza_2M0AufUQqrY_luta17_sub01.mp4
2M0AufUQqrY,CBJ TV,https://www.youtube.com/watch?v=2M0AufUQqrY,0:02:14.00 -> 0:02:18.00,ashi_waza,ashi_waza_2M0AufUQqrY_luta18_sub01.mp4
2M0AufUQqrY,CBJ TV,https://www.youtube.com/watch?v=2M0AufUQqrY,0:03:34.00 -> 0:03:38.00,ashi_waza,ashi_waza_2M0AufUQqrY_luta18_sub02.mp4
2M0AufUQqrY,CBJ TV,https://www.youtube.com/watch?v=2M0AufUQqrY,0:04:05.00 -> 0:04:09.00,ashi_waza,ashi_waza_2M0AufUQqrY_luta18_sub03.mp4
2M0AufUQqrY,CBJ TV,https://www.youtube.com/watch?v=2M0AufUQqrY,0:04:49.00 -> 0:04:53.00,ashi_waza,ashi_waza_2M0AufUQqrY_luta18_sub04.mp4
2M0AufUQqrY,CBJ TV,https://www.youtube.com/watch?v=2M0AufUQqrY,0:05:10.00 -> 0:05:14.00,ashi_waza,ashi_waza_2M0AufUQqrY_luta18_sub05.mp4
2M0AufUQqrY,CBJ TV,https://www.youtube.com/watch?v=2M0AufUQqrY,0:04:59.55 -> 0:05:01.65,ashi_waza,ashi_waza_2M0AufUQqrY_luta21_sub02.mp4
2M0AufUQqrY,CBJ TV,https://www.youtube.com/watch?v=2M0AufUQqrY,0:00:58.76 -> 0:01:00.26,ashi_waza,ashi_waza_2M0AufUQqrY_luta23_sub01.mp4
2M0AufUQqrY,CBJ TV,https://www.youtube.com/watch?v=2M0AufUQqrY,0:02:00.16 -> 0:02:02.75,ashi_waza,ashi_waza_2M0AufUQqrY_luta23_sub03.mp4
2M0AufUQqrY,CBJ TV,https://www.youtube.com/watch?v=2M0AufUQqrY,0:10:05.30 -> 0:10:07.80,ashi_waza,ashi_waza_2M0AufUQqrY_luta24_sub01.mp4
3CMuw3ljBlQ,CBJ TV,https://www.youtube.com/watch?v=3CMuw3ljBlQ,0:02:57.00 -> 0:03:01.00,ashi_waza,ashi_waza_3CMuw3ljBlQ_luta02_sub02.mp4
3CMuw3ljBlQ,CBJ TV,https://www.youtube.com/watch?v=3CMuw3ljBlQ,0:05:05.00 -> 0:05:09.00,ashi_waza,ashi_waza_3CMuw3ljBlQ_luta02_sub03.mp4
3CMuw3ljBlQ,CBJ TV,https://www.youtube.com/watch?v=3CMuw3ljBlQ,0:03:05.00 -> 0:03:09.00,ashi_waza,ashi_waza_3CMuw3ljBlQ_luta03_sub04.mp4
3CMuw3ljBlQ,CBJ TV,https://www.youtube.com/watch?v=3CMuw3ljBlQ,0:04:25.00 -> 0:04:29.00,ashi_waza,ashi_waza_3CMuw3ljBlQ_luta04_sub01.mp4
3CMuw3ljBlQ,CBJ TV,https://www.youtube.com/watch?v=3CMuw3ljBlQ,0:00:26.00 -> 0:00:30.00,ashi_waza,ashi_waza_3CMuw3ljBlQ_luta05_sub01.mp4
3CMuw3ljBlQ,CBJ TV,https://www.youtube.com/watch?v=3CMuw3ljBlQ,0:04:07.00 -> 0:04:11.00,ashi_waza,ashi_waza_3CMuw3ljBlQ_luta09_sub01.mp4
3CMuw3ljBlQ,CBJ TV,https://www.youtube.com/watch?v=3CMuw3ljBlQ,0:09:12.00 -> 0:09:16.00,ashi_waza,ashi_waza_3CMuw3ljBlQ_luta09_sub04.mp4
