stable_id,old_filename,old_class_label,current_filename,current_class_label,true_class_binary,predicted_class,correct,confidence
2M0AufUQqrY_luta01_sub03.mp4,ashi_waza_2M0AufUQqrY_luta01_sub03.mp4,ashi_waza,ashi_waza_2M0AufUQqrY_luta01_sub03.mp4,ashi_waza,tachi_waza,tachi_waza,1,0.9246482849121094
2M0AufUQqrY_luta03_sub01.mp4,ashi_waza_2M0AufUQqrY_luta03_sub01.mp4,ashi_waza,ashi_waza_2M0AufUQqrY_luta03_sub01.mp4,ashi_waza,tachi_waza,tachi_waza,1,0.9252365231513976
2M0AufUQqrY_luta03_sub02.mp4,ashi_waza_2M0AufUQqrY_luta03_sub02.mp4,ashi_waza,ashi_waza_2M0AufUQqrY_luta03_sub02.mp4,ashi_waza,tachi_waza,tachi_waza,1,0.8337717652320862
2M0AufUQqrY_luta03_sub03.mp4,ashi_waza_2M0AufUQqrY_luta03_sub03.mp4,ashi_waza,ashi_waza_2M0AufUQqrY_luta03_sub03.mp4,ashi_waza,tachi_waza,tachi_waza,1,0.9454947113990784
2M0AufUQqrY_luta03_sub04.mp4,ashi_waza_2M0AufUQqrY_luta03_sub04.mp4,ashi_waza,ashi_waza_2M0AufUQqrY_luta03_sub04.mp4,ashi_waza,tachi_waza,tachi_waza,1,0.9695761203765868
2M0AufUQqrY_luta03_sub06.mp4,ashi_waza_2M0AufUQqrY_luta03_sub06.mp4,ashi_waza,ashi_waza_2M0AufUQqrY_luta03_sub06.mp4,ashi_waza,tachi_waza,tachi_waza,1,0.9035184979438782
2M0AufUQqrY_luta03_sub07.mp4,ashi_waza_2M0AufUQqrY_luta03_sub07.mp4,ashi_waza,ashi_waza_2M0AufUQqrY_luta03_sub07.mp4,ashi_waza,tachi_waza,tachi_waza,1,0.7095999717712402
2M0AufUQqrY_luta04_sub01.mp4,ashi_waza_2M0AufUQqrY_luta04_sub01.mp4,ashi_waza,ashi_waza_2M0AufUQqrY_luta04_sub01.mp4,ashi_waza,tachi_waza,tachi_waza,1,0.9192444086074828
2M0AufUQqrY_luta07_sub01.mp4,ashi_waza_2M0AufUQqrY_luta07_sub01.mp4,ashi_waza,ashi_waza_2M0AufUQqrY_luta07_sub01.mp4,ashi_waza,tachi_waza,tachi_waza,1,0.9578055143356324
2M0AufUQqrY_luta12_sub01.mp4,sutemi_waza_2M0AufUQqrY_luta12_sub01.mp4,sutemi_waza,ashi_waza_2M0AufUQqrY_luta12_sub01.mp4,ashi_waza,tachi_waza,tachi_waza,1,0.9579204320907592
